id_rna,titre,titre_court,objet,nature,date_creation,date_declaration,date_publication,date_dissolution,groupement,position,num_voie,type_voie,libelle_voie,lieu_dit,lat,lon,dt_maj
W9G2014891,ASSOCIATION GERMANO-ANTILLAISE,ASSOCIATION GERMANO-ANTILLAISE,aider les allemands ainsi que toute personne de langue allemande désireuse de sejourner en guadeloupe afin qu'ils puissent mieux apprecier ce pays,D,1988-08-04 00:00:00,1988-08-04 00:00:00,1988-11-02 00:00:00,,Simple,Active,,,,Petit havre,16.229731,-61.472339,2020-01-03T09:41:10-04:00
W9G2014950,MEETING CARIBEEN,MEETING CARIBEEN,Amélioration promotion du sport et des arts aux Antilles,D,1989-04-10 00:00:00,1989-04-10 00:00:00,1989-05-03 00:00:00,,Simple,Active,,,,,16.229731,-61.472339,2020-01-07T16:22:40-04:00
W9G2014979,LA VOILE GOSIERIENNE,LA VOILE GOSIERIENNE,regrouper les jeunes des associations de la région désirant faire de la planche a voile,D,1983-08-09 00:00:00,1983-08-09 00:00:00,1983-08-21 00:00:00,,Simple,Active,,,,,16.229731,-61.472339,2020-01-07T17:41:12-04:00
W9G2014989,LE QUATRIEME SECTEUR,LE QUATRIEME SECTEUR,"aider, développer et promouvoir toutes les initiatives qui font intervenir les nouvelles technologies et techniques de làinformation et de la communication. mettre en valeur l'expérience professionnelle de ses membres en mettant en àuvre leurs projets, en organisant et produisant de manifestations de tous types en rapport ou non avec la communication et l'audiovisuel. informer et de conseiller dans la mesure des moyens disponibles etc",D,2003-05-06 00:00:00,2003-05-06 00:00:00,2003-05-06 00:00:00,,Simple,Active,,,,SECTION BOIS JOLI,16.229731,-61.472339,2020-01-07T17:57:30-04:00
W9G2015002,GUADELOUPE LOISIRS,GUADELOUPE LOISIRS,"promouvoir, faciliter, organiser gerer et le cas echeant financer tout systeme telematique d'annonces et d'informatiion sur les potentialits du tourisme et des loisirs en guadeloupe, en particulier grce  l'usager minitel",D,1993-08-02 00:00:00,1993-08-02 00:00:00,1993-08-18 00:00:00,,Simple,Active,,,,,16.229731,-61.472339,2020-01-08T09:30:34-04:00
W9G2015041,ASSOCIATION DES DISTRIBUTEURS IMPORTATEURS DE PRODUITS ANTIPARASITAIRES DE GUADELOUPE (ADIPAG),ASSOCIATION DES DISTRIBUTEURS IMPOR...,"représenter, d'informer et de défendre les intérêts personnels et collectifs de ses membres contre tout dysfonctionnement provenant aussi bien de l'administration, de fabricants voire de la distribution et des utilisateurs des produits",D,2007-11-09 00:00:00,2007-11-09 00:00:00,2008-01-05 00:00:00,,Simple,Active,,,,,16.229731,-61.472339,2020-01-08T11:42:06-04:00
W9G2015062,ASSOCIATION D'AIDE POUR LES ENFANTS DEMUNIS D'HAÏTI ( A.A.P.L.E.D.H),ASSOCIATION D'AIDE POUR LES ENFANT...,aider à la scolarisation des enfants démunis d'haïti,D,2006-05-04 00:00:00,2007-03-09 00:00:00,2006-07-15 00:00:00,,Simple,Active,,,,MARE GAILLARD,16.229731,-61.472339,2020-01-08T12:56:40-04:00
W9G2015077,CLUB NAUTIQUE DE LA POINTE DE LA VERDURE,CLUB NAUTIQUE DE LA POINTE DE LA VE...,developper le sport de la planche a voile,D,1978-12-12 00:00:00,1978-12-12 00:00:00,1978-12-27 00:00:00,,Simple,Active,,,,,16.229731,-61.472339,2020-01-08T13:51:15-04:00
W9G2015079,ALTERNATIVE GOSIERIENNE,ALTERNATIVE GOSIERIENNE,promouvoir et le développer du mieux-vivre ensemble à gosier,D,2007-04-20 00:00:00,2007-04-20 00:00:00,2007-06-02 00:00:00,,Simple,Active,,,,,16.229731,-61.472339,2020-01-09T08:43:42-04:00
W9G2015088,DAMPIERRE EN AVANT,DAMPIERRE EN AVANT,"pencher sur les problmes d'environnement et de qualité de vie dans la zone de dampierre de la commune du gosier. de s'informer, d'agir et de faire des suggestions et propositions aux autorités concernées d'animer la vie du quartier etc",D,2001-12-17 00:00:00,2001-12-17 00:00:00,2002-04-13 00:00:00,,Simple,Active,,,,Dampierre,16.229731,-61.472339,2020-01-09T09:39:46-04:00
W9G2015091,DOLPHINS.COPTER,DOLPHINS.COPTER,faire découvrir sous toutes ses formes et par quelques moyens que ce soit la voilure tournante de mettre en relation les personnes desirants voles (pilote et non pilote) dans le but de partager une passion commune etc,D,2001-11-29 00:00:00,2001-11-29 00:00:00,2002-02-09 00:00:00,,Simple,Active,,,,"4, route de la plage - residence de p",16.229731,-61.472339,2020-01-09T09:51:06-04:00
